141.096,70.1925,75.1682,80.4104,116.8079,72.6328,92.4529,47.9178,32.43,79.1634,113.6034,39.9873,65.0798,47.6598,66.8152,17.6246,21.2157,36.1461,75.7823,35.816,70.0557,66.7205,32.1311,17.605,158.148,52.6467,96.8288,54.86,74.2869
141.9402,70.0453,75.8453,80.6711,117.6199,72.5924,92.6093,48.2882,32.2705,79.2702,113.8666,40.1813,65.0071,47.8197,66.595,17.2375,21.2075,36.0491,75.6381,35.392,69.9447,67.1947,31.915,17.589,159.2745,52.6824,95.7208,55.12,74.4514
141.4535,69.7784,76.2417,80.6351,118.2951,71.6387,92.3635,48.5681,32.119,78.7036,113.1922,40.1893,65.1606,48.0891,66.2225,17.3315,20.9442,35.7719,75.4345,35.5894,69.2699,66.4252,31.2405,17.613,160.3653,52.3656,94.893,54.23,74.3774
144.2749,70.2569,77.8602,80.3295,120.0899,71.8731,93.1455,48.0084,32.2147,79.1388,113.2086,40.4883,65.7909,48.4005,66.4257,17.2074,21.0471,35.7996,74.9933,36.0352,69.6116,68.4562,31.4826,17.8531,159.3997,52.7658,97.3598,54.95,74.6817
142.9517,69.2262,77.7528,80.5818,120.3548,72.0428,91.8199,48.4611,31.8558,78.3423,112.3697,40.2297,64.8374,49.9574,65.9007,17.3165,20.9195,35.6148,74.2977,35.8358,69.9788,67.6599,30.9206,17.8395,159.5338,52.9349,96.8999,56.94,74.3856
142.503,68.9317,78.2235,80.1041,121.4744,72.5035,91.8199,48.3706,31.6883,78.3834,112.2217,40.0116,64.9828,51.4555,66.1209,17.0953,20.8208,35.6148,74.3825,35.0969,69.6714,68.0715,30.7217,17.6771,158.604,52.8611,99.4169,56.29,74.4103
142.4117,69.3826,78.2317,79.8067,121.2779,73.1501,90.1218,48.1483,32.0073,78.6626,111.9996,40.3025,64.8859,50.799,66.0785,16.9813,21.0018,35.5363,74.2213,35.2816,70.0472,66.8368,31.1627,17.7811,159.4891,52.6753,98.6643,56.95,74.1553
140.0541,67.4316,78.0336,78.4008,120.2523,72.649,88.8111,47.498,31.5288,77.8661,110.766,42.9203,64.6515,50.6644,65.6128,17.0702,20.9771,34.7324,73.2458,34.7496,69.1589,66.1568,30.2462,17.7571,157.245,52.1441,97.3347,56.21,73.0943
141.3926,68.5175,78.2152,78.5179,119.6625,73.1905,89.0494,47.5309,31.6564,78.1863,113.0112,42.8234,65.3464,50.496,66.0108,17.4098,21.808,34.7278,74.1874,34.7865,69.193,66.2284,30.9379,17.9331,157.8888,53.0374,98.4385,57.51,73.522
142.7767,68.3611,78.2813,79.5363,120.1839,74.6857,88.759,48.9715,31.7122,78.3834,113.8584,42.4355,65.2818,50.0668,65.7568,17.7594,21.9396,34.8479,74.5522,35.6658,69.2443,66.962,31.7853,18.2292,159.811,53.3018,99.0991,59.72,73.9497
143.5524,68.2967,78.1492,79.1127,119.8335,74.8484,88.4983,48.5599,31.6723,78.8761,113.6281,42.4194,65.096,50.4035,64.9947,17.6603,21.8327,34.5522,74.0093,35.8579,69.4066,65.101,31.8977,18.2292,156.6103,52.8277,99.534,59.21,74.0648
144.5639,68.085,78.496,81.9878,120.0471,74.3847,88.8409,47.8355,31.3294,77.9482,112.929,41.975,64.5465,49.7891,64.5121,17.2276,21.2651,33.9054,73.356,35.7249,69.1845,64.8862,31.4567,18.1972,157.6027,55.3075,99.6343,59.86,73.9826
143.3015,68.2875,77.6455,81.6453,121.0813,73.7013,89.6378,47.8849,31.8398,78.0714,112.6658,41.878,64.7889,49.4272,64.2157,17.4952,21.0512,34.0717,72.109,35.2446,68.7233,65.4589,31.2751,18.2692,154.849,55.248,99.7179,60.95,74.509
138.6016,69.309,77.8849,82.132,123.3889,72.9204,89.6899,47.4074,31.8239,77.9071,112.2464,41.4902,64.5052,49.5787,63.8008,17.573,20.8208,33.9563,71.7357,34.9713,68.5012,65.6736,31.0676,18.2772,155.2781,55.5005,103.9993,61.14,74.9202
138.9666,68.8305,76.5802,80.3655,120.7736,71.9768,88.1706,46.4855,31.2975,78.2684,110.7907,41.6922,63.6992,49.1074,63.4706,17.7218,20.6728,33.6005,70.4717,35.3629,68.5354,65.4947,31.1757,18.0532,152.6586,54.3713,103.3554,60.08,73.8592
136.6167,66.9254,74.8214,78.3647,116.7908,70.0976,86.6066,45.3495,30.9784,77.5376,107.0979,41.9992,64.4645,48.1648,63.0134,17.3996,20.4095,33.1016,69.2331,35.1929,67.6129,64.0631,31.8242,17.7651,149.8781,52.7039,99.7514,58.4,72.7653
135.2934,66.4928,74.2681,77.2561,117.3977,74.2626,86.7109,45.3495,30.8907,77.242,106.0616,42.4436,63.8864,48.3079,62.7848,17.5408,20.3355,33.2171,69.81,35.2373,67.425,64.1078,31.1541,17.605,147.2407,51.5057,99.1075,57.08,74.2622
134.4949,67.0726,74.4003,78.0853,117.1669,75.2226,87.0162,45.8845,31.0024,77.3324,106.7607,42.7183,64.4075,47.9881,63.2251,16.1388,20.4836,33.5913,70.4971,34.9934,67.0833,64.1615,31.3616,17.405,148.6354,52.6348,100.9304,59.37,74.3938
134.1526,65.6462,73.4093,77.1029,110.9192,73.7176,86.3907,45.7117,30.2287,76.4866,107.1226,42.1851,63.2107,47.5504,62.7424,15.9556,20.3026,33.157,69.7421,35.2373,65.4947,63.7589,31.6988,17.325,146.5344,51.7201,99.651,57.96,73.8098
